Item,Description,Year,Amount
A205,Security of buildings and persons,2007,150000
A205,Security of buildings and persons,2007 N1,150000
A205,Security of buildings and persons,2005,235000
A205,Security of buildings and persons,2006,100000
A205,Security of buildings and persons,2007,150000
A205,Security of buildings and persons,2007 N1,150000
A208,Expenditure preliminary to the rental of immovable property,2006,8000
A208,Expenditure preliminary to the rental of immovable property,2007,8000
A208,Expenditure preliminary to the rental of immovable property,2007 N1,8000
A210,Costs of equipment and data-processing related expenditure,2005,100000
A210,Costs of equipment and data-processing related expenditure,2006,478000
A210,Costs of equipment and data-processing related expenditure,2007,859500
A210,Costs of equipment and data-processing related expenditure,2007 N1,2024500
A210,Costs of equipment and data-processing related expenditure,2007 N2,2024500
A220,Technical equipment and installations,2006,10000
A221,Furniture,2005,25000
A221,Furniture,2006,125000
A221,Furniture,2007,300000
A221,Furniture,2007 N1,300000
A221,Furniture,2007 N2,1136000
A223,Transport equipment,2005,100000
A223,Transport equipment,2006,41000
A223,Transport equipment,2007,120000
A223,Transport equipment,2007 N1,120000
A225,Documentation and library expenditure,2005,4000
A225,Documentation and library expenditure,2006,6000
A225,Documentation and library expenditure,2007,6000
A225,Documentation and library expenditure,2007 N1,6000
A225,Documentation and library expenditure,2007 N2,3572007
A230,Stationery and office supplies,2006,40000
A230,Stationery and office supplies,2007,60000
A230,Stationery and office supplies,2007 N1,100000
A230,Stationery and office supplies,2007 N2,100000
A231,Financial charges,2006,10000
A231,Financial charges,2007,3000
A231,Financial charges,2007 N1,50000
A231,Financial charges,2007 N2,50000
A233,Legal expenses and damages,2006,5000
A233,Legal expenses and damages,2007,20000
A233,Legal expenses and damages,2007 N1,20000
A233,Legal expenses and damages,2007 N2,20000
A234,Other administrative expenditure,2006,45000
A234,Other administrative expenditure,2007,57000
A234,Other administrative expenditure,2007 N1,223000
A234,Other administrative expenditure,2007 N2,223000
A235,Communication and information activities,2006,7500
A235,Communication and information activities,2007,7500
A235,Communication and information activities,2007 N1,10000
A235,Communication and information activities,2007 N2,10000
A240,Postal and delivery charges,2006,6000
A240,Postal and delivery charges,2007,8000
A240,Postal and delivery charges,2007 N1,8000
A240,Postal and delivery charges,2007 N2,8000
A241,Telecommunications,2006,97500
A241,Telecommunications,2007,345000
A241,Telecommunications,2007 N1,410000
A241,Telecommunications,2007 N2,410000
A250,Management Board meetings,2005,100000
A250,Management Board meetings,2006,234000
A250,Management Board meetings,2007,286500
A250,Management Board meetings,2007 N1,286500
A250,Management Board meetings,2007 N2,286500
A251,Other meetings and visits,2006,10000
A251,Other meetings and visits,2007,20000
A251,Other meetings and visits,2007 N1,150000
A251,Other meetings and visits,2007 N2,150000
A300,"Operations and pilot projects etc., land borders",2006,910000
A300,"Operations and pilot projects etc., land borders",2007,1500000
A300,"Operations and pilot projects etc., land borders",2007 N1,3600000
A300,"Operations and pilot projects etc., land borders",2007 N2,3.6000003E7
A300,"Operations and pilot projects etc., land borders",2006,910000
A300,"Operations and pilot projects etc., land borders",2007,1500000
A300,"Operations and pilot projects etc., land borders",2007 N1,3600000
A300,"Operations and pilot projects etc., land borders",2007 N2,3.6000003E7
A301,"Operations and pilot projects etc., sea borders",2006,9229300
A301,"Operations and pilot projects etc., sea borders",2007,5300000
A301,"Operations and pilot projects etc., sea borders",2007 N1,8165000
A301,"Operations and pilot projects etc., sea borders",2007 N2,1.44650003E8
A302,"Operations and pilot projects etc., air borders",2006,315000
A302,"Operations and pilot projects etc., air borders",2007,1000000
A302,"Operations and pilot projects etc., air borders",2007 N1,1800000
A302,"Operations and pilot projects etc., air borders",2007 N2,1.8000003E7
A303,"Operations and pilot projects etc., combined",2006,310000
A303,"Operations and pilot projects etc., combined",2007,1300000
A304,Technical and operational assistance,2007 N2,8
A305,Return co-operation,2006,325000
A305,Return co-operation,2007,300000
A305,Return co-operation,2007 N1,600000
A305,Return co-operation,2007 N2,6000009
A310,Risk analysis,2005,80000
A310,Risk analysis,2006,187000
A310,Risk analysis,2007,200000
A310,Risk analysis,2007 N1,756000
A310,Risk analysis,2007 N2,7560004
A320,Training,2005,250000
A320,Training,2006,1060000
A320,Training,2007,1200000
A320,Training,2007 N1,2805000
A320,Training,2007 N2,3.5050005E7
A330,Research and development,2005,100000
A330,Research and development,2006,120000
A330,Research and development,2007,250000
A330,Research and development,2007 N1,350000
A330,Research and development,2007 N2,3.5000064572007E13
A340,Management of technical equipment,2006,10000
A340,Management of technical equipment,2007,100000
A340,Management of technical equipment,2007 N1,1100000
A340,Management of technical equipment,2007 N2,1100000
A350,Miscellaneous operational activities,2006,100000
A350,Miscellaneous operational activities,2007,150000
A350,Miscellaneous operational activities,2007 N1,150000
A350,Miscellaneous operational activities,2007 N2,1500002
A390,Reserve,2006,500000
A390,Reserve,2007,1000000
A390,Reserve,2007 N1,1000000
A390,Reserve,2007 N2,1000000
