item,description,comittment 2011,payment 2011,2012 N2,2013
A-251,Other meetings & visits, 345 445 , 272 135 , 100 000 , 50 000 
A-252,Consultative Forum,0 ,0 ,0 ,                p.m.,A-25,Non-operational meetings, 748 766 , 568 046 , 600 000 , 600 000 
A-260,Corporate Identity, 100 685 , 41 356 , 130 000 , 100 000 
A-261,Internal communications activities, 82 237 , 62 855 , 125 000 , 150 000 
A-262,Communication and information activities, 28 639 , 6 641 , 250 000 , 600 000 
A-263,Official publications/tender publications, 80 000 , 46 218 , 150 000 , 150 000 ,A-26,Information & Transparency, 291 561 , 157 070 , 655 000 ,1 000 000 ,9 935 981 ,7 468 725 ,10 077 000 ,9 758 100 
A-300,Operations & Pilot Projects; land borders,10 360 000 ,5 695 252 ,5 800 000 ,9 400 000 
A-301,Operations & Pilot Projects; sea borders,48 322 500 ,29 023 664 ,28 750 000 ,20 050 000 
A-302,Operations & Pilot Projects; air borders,2 870 000 ,2 109 718 ,2 200 000 ,2 289 000 
A-305,Return cooperation,11 671 000 ,7 517 546 ,10 243 000 ,10 000 000 ,A-30,Joint Operations,73 223 500 ,44 346 181 ,46 993 000 ,41 739 000 
A-310,Risk analysis,1 333 136 , 468 238 ,1 400 000 ,1 445 000 
A-311,Frontex Situation Center,1 173 412 , 383 640 ,1 050 000 ,1 380 000 ,A-31,Risk analysis & Situation Center,2 506 548 , 851 879 ,2 450 000 ,2 825 000 
A-320,Training,5 652 650 ,2 987 767 ,4 000 000 ,4 500 000 ,A-32,Training,5 652 650 ,2 987 767 ,4 000 000 ,4 500 000 
A-330,Research & Development,1 166 987 , 650 712 ,1 032 000 ,1 200 000 
A-331,EUROSUR,1 445 000 , 577 499 ,1 308 000 ,2 244 000 ,A-33,Research and Development & EUROSUR,2 611 987 ,1 228 211 ,2 340 000 ,3 444 000 
A-340,Pooled Resources, 283 348 , 203 286 ,1 000 000 ,1 000 000 
A-341,EBGT, 168 625 , 168 625 ,                p.m.,                p.m.,A-34,Pooled Resources, 451 973 , 371 912 ,1 000 000 ,1 000 000 
A-350,Miscellaneous Operational Activities, 191 340 , 161 324 , 268 000 , 150 000 
A-351,Operational IT activities,1 318 282 , 25 047 ,1 500 000 ,                p.m.
A-352,European Day for Border Guards,0 ,0 , 400 000 , 400 000 
A-353,International Border Police Conference,0 ,0 ,0 , 250 000 ,A-35,Miscellaneous Operational Activities,1 509 622 , 186 371 ,2 168 000 , 800 000 ,85 956 281 ,49 972 320 ,58 951 000 ,54 308 000 
